course_id,course_name,category,sub_category,difficulty,rating,num_students,description
C23,Java Programming Masterclass,Blockchain,Smart Contracts,Beginner,3.8,1063,Java Programming Masterclass course covering Smart Contracts in the field of Blockchain.
C24,Reinforcement Learning Fundamentals,Blockchain,General,Beginner,4.3,1957,Reinforcement Learning Fundamentals course covering General in the field of Blockchain.
C25,Statistics for Machine Learning,Cybersecurity,Network Security,Beginner,4.3,4836,Statistics for Machine Learning course covering Network Security in the field of Cybersecurity.
C26,Statistics for Machine Learning,Web Development,React,Advanced,4.5,2825,Statistics for Machine Learning course covering React in the field of Web Development.
C27,Python for Data Science,Data Science,Analytics,Intermediate,4.8,1863,Python for Data Science course covering Analytics in the field of Data Science.
C28,Statistics for Machine Learning,Data Science,Power BI,Intermediate,3.7,1506,Statistics for Machine Learning course covering Power BI in the field of Data Science.
C29,Reinforcement Learning Fundamentals,Cloud,AWS,Beginner,4.8,909,Reinforcement Learning Fundamentals course covering AWS in the field of Cloud.
C30,Computer Vision Crash Course,Programming,Databases,Beginner,3.7,4979,Computer Vision Crash Course course covering Databases in the field of Programming.
C31,Introduction to SQL,Blockchain,Web3,Beginner,3.6,4859,Introduction to SQL course covering Web3 in the field of Blockchain.
C32,Deep Learning with TensorFlow,Web Development,Frontend,Beginner,3.7,3199,Deep Learning with TensorFlow course covering Frontend in the field of Web Development.
C33,DevOps Fundamentals,AI,Deep Learning,Intermediate,4.3,1054,DevOps Fundamentals course covering Deep Learning in the field of AI.
C34,Introduction to Artificial Intelligence,Cybersecurity,Forensics,Beginner,3.9,1907,Introduction to Artificial Intelligence course covering Forensics in the field of Cybersecurity.
C35,Full Stack Web Development,Data Science,Power BI,Advanced,3.9,4589,Full Stack Web Development course covering Power BI in the field of Data Science.
C36,Machine Learning A-Z,Cybersecurity,Forensics,Intermediate,4.1,3782,Machine Learning A-Z course covering Forensics in the field of Cybersecurity.
C37,Python for Data Science,AI,Artificial Intelligence,Beginner,4.8,3011,Python for Data Science course covering Artificial Intelligence in the field of AI.
C38,Advanced AI Model Deployment,Programming,C,Intermediate,4.3,346,Advanced AI Model Deployment course covering C in the field of Programming.
C39,Introduction to SQL,Web Development,Python Web,Beginner,4.1,2585,Introduction to SQL course covering Python Web in the field of Web Development.
C40,Blockchain Essentials,AI,Deep Learning,Advanced,4.3,3569,Blockchain Essentials course covering Deep Learning in the field of AI.
C41,Cloud Computing with AWS,Programming,C,Intermediate,5.0,3843,Cloud Computing with AWS course covering C in the field of Programming.
C42,Introduction to Artificial Intelligence,AI,Machine Learning,Intermediate,4.8,3308,Introduction to Artificial Intelligence course covering Machine Learning in the field of AI.
C43,Introduction to SQL,Programming,Databases,Advanced,4.6,2455,Introduction to SQL course covering Databases in the field of Programming.
C44,Introduction to Artificial Intelligence,Programming,C,Advanced,4.9,1645,Introduction to Artificial Intelligence course covering C in the field of Programming.
C45,Cloud Computing with AWS,Web Development,Backend,Intermediate,4.9,2400,Cloud Computing with AWS course covering Backend in the field of Web Development.
C46,Cybersecurity Basics,Cybersecurity,Hacking,Intermediate,4.2,3434,Cybersecurity Basics course covering Hacking in the field of Cybersecurity.
C47,Natural Language Processing Basics,Cybersecurity,General,Beginner,3.5,4693,Natural Language Processing Basics course covering General in the field of Cybersecurity.
C48,Reinforcement Learning Fundamentals,Cybersecurity,Forensics,Advanced,4.6,4935,Reinforcement Learning Fundamentals course covering Forensics in the field of Cybersecurity.
C49,Advanced AI Model Deployment,AI,NLP,Intermediate,3.9,1893,Advanced AI Model Deployment course covering NLP in the field of AI.
C50,React for Frontend Development,Cloud,Azure,Advanced,4.8,3554,React for Frontend Development course covering Azure in the field of Cloud.
C51,Introduction to Artificial Intelligence,Programming,Java,Advanced,4.2,4748,Introduction to Artificial Intelligence course covering Java in the field of Programming.
C52,Cloud Computing with AWS,Web Development,React,Advanced,4.4,3320,Cloud Computing with AWS course covering React in the field of Web Development.
C53,Cybersecurity Basics,AI,NLP,Beginner,4.8,1260,Cybersecurity Basics course covering NLP in the field of AI.
C54,Cybersecurity Basics,Cybersecurity,General,Beginner,4.4,899,Cybersecurity Basics course covering General in the field of Cybersecurity.
C55,Introduction to Artificial Intelligence,AI,NLP,Advanced,3.8,2016,Introduction to Artificial Intelligence course covering NLP in the field of AI.
C56,Deep Learning with TensorFlow,Data Science,Statistics,Intermediate,3.6,4214,Deep Learning with TensorFlow course covering Statistics in the field of Data Science.
C57,Machine Learning A-Z,Cloud,DevOps,Advanced,4.3,1609,Machine Learning A-Z course covering DevOps in the field of Cloud.
C58,Data Visualization using Power BI,Data Science,Python,Beginner,3.7,4541,Data Visualization using Power BI course covering Python in the field of Data Science.
C59,Java Programming Masterclass,Blockchain,General,Advanced,4.1,2041,Java Programming Masterclass course covering General in the field of Blockchain.
C60,Statistics for Machine Learning,AI,Computer Vision,Beginner,4.4,4315,Statistics for Machine Learning course covering Computer Vision in the field of AI.
C61,Cloud Computing with AWS,AI,MLOps,Intermediate,4.8,1366,Cloud Computing with AWS course covering MLOps in the field of AI.
C62,Machine Learning A-Z,Web Development,Frontend,Advanced,4.5,4346,Machine Learning A-Z course covering Frontend in the field of Web Development.
C63,DevOps Fundamentals,AI,Machine Learning,Intermediate,4.7,2691,DevOps Fundamentals course covering Machine Learning in the field of AI.
C64,Data Visualization using Power BI,Cybersecurity,General,Beginner,3.9,204,Data Visualization using Power BI course covering General in the field of Cybersecurity.
C65,React for Frontend Development,Blockchain,Smart Contracts,Intermediate,4.3,4564,React for Frontend Development course covering Smart Contracts in the field of Blockchain.
C66,Java Programming Masterclass,Data Science,Power BI,Intermediate,3.6,319,Java Programming Masterclass course covering Power BI in the field of Data Science.
C67,Computer Vision Crash Course,Blockchain,Web3,Intermediate,4.9,3038,Computer Vision Crash Course course covering Web3 in the field of Blockchain.
C68,Django Web Development,Blockchain,General,Beginner,3.6,4929,Django Web Development course covering General in the field of Blockchain.
C69,Machine Learning A-Z,AI,Reinforcement Learning,Intermediate,3.6,3872,Machine Learning A-Z course covering Reinforcement Learning in the field of AI.
C70,Introduction to Artificial Intelligence,Cybersecurity,General,Beginner,4.6,1670,Introduction to Artificial Intelligence course covering General in the field of Cybersecurity.
C71,Deep Learning with TensorFlow,Cybersecurity,Hacking,Intermediate,4.0,2944,Deep Learning with TensorFlow course covering Hacking in the field of Cybersecurity.
C72,Computer Vision Crash Course,Cybersecurity,Hacking,Advanced,3.6,3259,Computer Vision Crash Course course covering Hacking in the field of Cybersecurity.
C73,Cloud Computing with AWS,Cybersecurity,Forensics,Intermediate,4.6,4846,Cloud Computing with AWS course covering Forensics in the field of Cybersecurity.
C74,Computer Vision Crash Course,Web Development,Full Stack,Advanced,3.6,3049,Computer Vision Crash Course course covering Full Stack in the field of Web Development.
C75,Advanced AI Model Deployment,Web Development,Frontend,Intermediate,4.3,1215,Advanced AI Model Deployment course covering Frontend in the field of Web Development.
C76,Natural Language Processing Basics,Cybersecurity,General,Advanced,4.9,1095,Natural Language Processing Basics course covering General in the field of Cybersecurity.
C77,Django Web Development,Programming,C,Intermediate,4.4,1768,Django Web Development course covering C in the field of Programming.
C78,Advanced AI Model Deployment,AI,Computer Vision,Advanced,4.9,4113,Advanced AI Model Deployment course covering Computer Vision in the field of AI.
C79,React for Frontend Development,Programming,C,Advanced,4.1,2746,React for Frontend Development course covering C in the field of Programming.
C80,DevOps Fundamentals,Data Science,Visualization,Intermediate,4.0,1825,DevOps Fundamentals course covering Visualization in the field of Data Science.
C81,Advanced AI Model Deployment,Cloud,Azure,Beginner,4.2,1025,Advanced AI Model Deployment course covering Azure in the field of Cloud.
C82,React for Frontend Development,Cybersecurity,Hacking,Advanced,4.8,928,React for Frontend Development course covering Hacking in the field of Cybersecurity.
C83,Natural Language Processing Basics,Cybersecurity,General,Intermediate,4.1,3167,Natural Language Processing Basics course covering General in the field of Cybersecurity.
C84,Deep Learning with TensorFlow,Programming,Databases,Intermediate,3.9,2343,Deep Learning with TensorFlow course covering Databases in the field of Programming.
C85,Computer Vision Crash Course,Blockchain,Smart Contracts,Beginner,4.5,2526,Computer Vision Crash Course course covering Smart Contracts in the field of Blockchain.
C86,Introduction to SQL,AI,Deep Learning,Intermediate,4.9,795,Introduction to SQL course covering Deep Learning in the field of AI.
C87,React for Frontend Development,AI,MLOps,Advanced,3.6,595,React for Frontend Development course covering MLOps in the field of AI.
C88,Advanced AI Model Deployment,Cybersecurity,General,Beginner,4.0,917,Advanced AI Model Deployment course covering General in the field of Cybersecurity.
C89,Ethical Hacking Masterclass,Blockchain,Web3,Beginner,3.6,4691,Ethical Hacking Masterclass course covering Web3 in the field of Blockchain.
C90,Natural Language Processing Basics,AI,NLP,Beginner,4.7,2816,Natural Language Processing Basics course covering NLP in the field of AI.
C91,Java Programming Masterclass,Blockchain,General,Intermediate,3.6,3494,Java Programming Masterclass course covering General in the field of Blockchain.
C92,Deep Learning with TensorFlow,Data Science,Analytics,Advanced,4.3,1153,Deep Learning with TensorFlow course covering Analytics in the field of Data Science.
C93,Python for Data Science,Web Development,Full Stack,Advanced,4.1,1391,Python for Data Science course covering Full Stack in the field of Web Development.
C94,Blockchain Essentials,Data Science,Python,Advanced,4.6,1740,Blockchain Essentials course covering Python in the field of Data Science.
C95,Python for Data Science,Cybersecurity,General,Advanced,4.4,1588,Python for Data Science course covering General in the field of Cybersecurity.
C96,Reinforcement Learning Fundamentals,AI,MLOps,Beginner,4.9,4512,Reinforcement Learning Fundamentals course covering MLOps in the field of AI.
C97,Natural Language Processing Basics,Cybersecurity,Forensics,Intermediate,4.6,2010,Natural Language Processing Basics course covering Forensics in the field of Cybersecurity.
C98,Statistics for Machine Learning,Cybersecurity,Forensics,Advanced,3.9,3802,Statistics for Machine Learning course covering Forensics in the field of Cybersecurity.
C99,Deep Learning with TensorFlow,Blockchain,Smart Contracts,Beginner,3.5,1443,Deep Learning with TensorFlow course covering Smart Contracts in the field of Blockchain.
C100,Reinforcement Learning Fundamentals,Cloud,Azure,Beginner,4.7,2158,Reinforcement Learning Fundamentals course covering Azure in the field of Cloud.
C101,React for Frontend Development,AI,Deep Learning,Intermediate,4.1,1731,React for Frontend Development course covering Deep Learning in the field of AI.
C102,Introduction to Artificial Intelligence,AI,Artificial Intelligence,Intermediate,4.2,2305,Introduction to Artificial Intelligence course covering Artificial Intelligence in the field of AI.
C103,React for Frontend Development,Web Development,React,Beginner,4.0,4375,React for Frontend Development course covering React in the field of Web Development.
C104,Full Stack Web Development,Cloud,AWS,Beginner,3.9,3712,Full Stack Web Development course covering AWS in the field of Cloud.
C105,DevOps Fundamentals,Data Science,Python,Intermediate,3.9,3784,DevOps Fundamentals course covering Python in the field of Data Science.
C106,Deep Learning with TensorFlow,Cybersecurity,Hacking,Advanced,3.6,1553,Deep Learning with TensorFlow course covering Hacking in the field of Cybersecurity.
C107,Data Visualization using Power BI,Cloud,GCP,Intermediate,3.8,4385,Data Visualization using Power BI course covering GCP in the field of Cloud.
C108,Blockchain Essentials,Data Science,Power BI,Beginner,5.0,3975,Blockchain Essentials course covering Power BI in the field of Data Science.
C109,Introduction to SQL,Programming,Databases,Beginner,4.1,2708,Introduction to SQL course covering Databases in the field of Programming.
C110,React for Frontend Development,Web Development,React,Intermediate,3.6,4685,React for Frontend Development course covering React in the field of Web Development.
C111,Computer Vision Crash Course,Data Science,Visualization,Advanced,4.9,209,Computer Vision Crash Course course covering Visualization in the field of Data Science.
C112,React for Frontend Development,Cloud,Azure,Beginner,3.5,2024,React for Frontend Development course covering Azure in the field of Cloud.
C113,Blockchain Essentials,Cloud,AWS,Advanced,3.7,4358,Blockchain Essentials course covering AWS in the field of Cloud.
C114,DevOps Fundamentals,AI,MLOps,Beginner,3.6,2352,DevOps Fundamentals course covering MLOps in the field of AI.
C115,Cloud Computing with AWS,Programming,Databases,Advanced,4.8,2200,Cloud Computing with AWS course covering Databases in the field of Programming.
C116,Computer Vision Crash Course,Cybersecurity,Network Security,Intermediate,4.9,3836,Computer Vision Crash Course course covering Network Security in the field of Cybersecurity.
C117,Java Programming Masterclass,Cybersecurity,Hacking,Advanced,3.9,2248,Java Programming Masterclass course covering Hacking in the field of Cybersecurity.
C118,React for Frontend Development,Programming,Python Scripting,Intermediate,4.8,4783,React for Frontend Development course covering Python Scripting in the field of Programming.
C119,Data Visualization using Power BI,Data Science,Power BI,Advanced,4.5,873,Data Visualization using Power BI course covering Power BI in the field of Data Science.
C120,Deep Learning with TensorFlow,Cloud,Azure,Advanced,4.0,2184,Deep Learning with TensorFlow course covering Azure in the field of Cloud.
C121,Computer Vision Crash Course,Cloud,GCP,Intermediate,4.8,2048,Computer Vision Crash Course course covering GCP in the field of Cloud.
C122,Ethical Hacking Masterclass,AI,Reinforcement Learning,Advanced,4.6,4181,Ethical Hacking Masterclass course covering Reinforcement Learning in the field of AI.
C123,Advanced AI Model Deployment,Data Science,Visualization,Advanced,3.7,1529,Advanced AI Model Deployment course covering Visualization in the field of Data Science.
C124,Ethical Hacking Masterclass,Data Science,Statistics,Advanced,3.6,2217,Ethical Hacking Masterclass course covering Statistics in the field of Data Science.
C125,Python for Data Science,Web Development,Full Stack,Beginner,4.7,4837,Python for Data Science course covering Full Stack in the field of Web Development.
C126,Advanced AI Model Deployment,Blockchain,Smart Contracts,Beginner,4.9,337,Advanced AI Model Deployment course covering Smart Contracts in the field of Blockchain.
C127,DevOps Fundamentals,AI,Machine Learning,Beginner,5.0,4500,DevOps Fundamentals course covering Machine Learning in the field of AI.
C128,Full Stack Web Development,Cloud,DevOps,Advanced,3.6,960,Full Stack Web Development course covering DevOps in the field of Cloud.
C129,Cloud Computing with AWS,Blockchain,Web3,Advanced,4.1,1099,Cloud Computing with AWS course covering Web3 in the field of Blockchain.
C130,Deep Learning with TensorFlow,Web Development,Full Stack,Advanced,4.3,871,Deep Learning with TensorFlow course covering Full Stack in the field of Web Development.
C131,Advanced AI Model Deployment,Data Science,Analytics,Advanced,4.7,4899,Advanced AI Model Deployment course covering Analytics in the field of Data Science.
C132,Python for Data Science,Data Science,Analytics,Beginner,4.3,723,Python for Data Science course covering Analytics in the field of Data Science.
C133,DevOps Fundamentals,Data Science,Statistics,Intermediate,4.0,2496,DevOps Fundamentals course covering Statistics in the field of Data Science.
C134,Ethical Hacking Masterclass,Blockchain,General,Intermediate,3.7,4343,Ethical Hacking Masterclass course covering General in the field of Blockchain.
C135,Natural Language Processing Basics,Cybersecurity,General,Beginner,3.6,1476,Natural Language Processing Basics course covering General in the field of Cybersecurity.
C136,Cybersecurity Basics,Web Development,Frontend,Intermediate,4.6,4821,Cybersecurity Basics course covering Frontend in the field of Web Development.
C137,Statistics for Machine Learning,Programming,C++,Advanced,4.8,2997,Statistics for Machine Learning course covering C++ in the field of Programming.
C138,React for Frontend Development,Programming,C,Intermediate,4.2,2106,React for Frontend Development course covering C in the field of Programming.
C139,Computer Vision Crash Course,Blockchain,General,Intermediate,4.3,1496,Computer Vision Crash Course course covering General in the field of Blockchain.
C140,Django Web Development,Blockchain,Smart Contracts,Beginner,4.8,3483,Django Web Development course covering Smart Contracts in the field of Blockchain.
C141,Java Programming Masterclass,AI,NLP,Advanced,4.5,1369,Java Programming Masterclass course covering NLP in the field of AI.
C142,Machine Learning A-Z,Blockchain,Web3,Advanced,4.6,2672,Machine Learning A-Z course covering Web3 in the field of Blockchain.
C143,Reinforcement Learning Fundamentals,Cybersecurity,Hacking,Intermediate,4.4,3714,Reinforcement Learning Fundamentals course covering Hacking in the field of Cybersecurity.
C144,Python for Data Science,Programming,Python Scripting,Beginner,4.9,1660,Python for Data Science course covering Python Scripting in the field of Programming.
C145,Python for Data Science,Cloud,AWS,Intermediate,3.9,2763,Python for Data Science course covering AWS in the field of Cloud.
C146,Introduction to SQL,Cloud,DevOps,Advanced,3.6,2790,Introduction to SQL course covering DevOps in the field of Cloud.
C147,Python for Data Science,Cybersecurity,Forensics,Intermediate,4.4,4370,Python for Data Science course covering Forensics in the field of Cybersecurity.
C148,Python for Data Science,Web Development,Full Stack,Advanced,4.7,4489,Python for Data Science course covering Full Stack in the field of Web Development.
C149,Data Visualization using Power BI,Blockchain,Web3,Intermediate,3.9,1341,Data Visualization using Power BI course covering Web3 in the field of Blockchain.
C150,Reinforcement Learning Fundamentals,Web Development,Backend,Beginner,4.6,4854,Reinforcement Learning Fundamentals course covering Backend in the field of Web Development.
C151,Cybersecurity Basics,AI,Machine Learning,Intermediate,4.4,4434,Cybersecurity Basics course covering Machine Learning in the field of AI.
C152,Full Stack Web Development,Blockchain,General,Advanced,3.6,4985,Full Stack Web Development course covering General in the field of Blockchain.
C153,Java Programming Masterclass,Data Science,Analytics,Intermediate,4.0,3913,Java Programming Masterclass course covering Analytics in the field of Data Science.
C154,Computer Vision Crash Course,Web Development,Full Stack,Beginner,4.6,2194,Computer Vision Crash Course course covering Full Stack in the field of Web Development.
C155,Deep Learning with TensorFlow,Blockchain,Smart Contracts,Intermediate,3.7,1804,Deep Learning with TensorFlow course covering Smart Contracts in the field of Blockchain.
C156,Django Web Development,Cloud,GCP,Intermediate,3.7,575,Django Web Development course covering GCP in the field of Cloud.
C157,Machine Learning A-Z,Programming,Databases,Advanced,3.6,3591,Machine Learning A-Z course covering Databases in the field of Programming.
C158,Data Visualization using Power BI,Cloud,GCP,Advanced,4.7,1514,Data Visualization using Power BI course covering GCP in the field of Cloud.
C159,Computer Vision Crash Course,Cybersecurity,General,Advanced,4.5,2821,Computer Vision Crash Course course covering General in the field of Cybersecurity.
C160,React for Frontend Development,Web Development,Full Stack,Intermediate,4.1,2543,React for Frontend Development course covering Full Stack in the field of Web Development.
C161,Advanced AI Model Deployment,Blockchain,Smart Contracts,Beginner,4.0,4870,Advanced AI Model Deployment course covering Smart Contracts in the field of Blockchain.
C162,DevOps Fundamentals,Blockchain,General,Beginner,4.1,4233,DevOps Fundamentals course covering General in the field of Blockchain.
C163,Data Visualization using Power BI,Cloud,AWS,Advanced,4.3,397,Data Visualization using Power BI course covering AWS in the field of Cloud.
C164,Statistics for Machine Learning,Cloud,DevOps,Advanced,4.0,2235,Statistics for Machine Learning course covering DevOps in the field of Cloud.
C165,Natural Language Processing Basics,Cloud,DevOps,Beginner,3.7,1320,Natural Language Processing Basics course covering DevOps in the field of Cloud.
C166,Introduction to Artificial Intelligence,Cybersecurity,General,Intermediate,3.8,2057,Introduction to Artificial Intelligence course covering General in the field of Cybersecurity.
C167,Java Programming Masterclass,Data Science,Analytics,Beginner,3.7,3428,Java Programming Masterclass course covering Analytics in the field of Data Science.
C168,Ethical Hacking Masterclass,Cybersecurity,General,Beginner,4.6,294,Ethical Hacking Masterclass course covering General in the field of Cybersecurity.
C169,Natural Language Processing Basics,Programming,C++,Intermediate,3.9,2316,Natural Language Processing Basics course covering C++ in the field of Programming.
C170,Java Programming Masterclass,Web Development,Backend,Intermediate,3.8,1014,Java Programming Masterclass course covering Backend in the field of Web Development.
C171,Django Web Development,Data Science,Visualization,Intermediate,4.4,3205,Django Web Development course covering Visualization in the field of Data Science.
C172,Introduction to Artificial Intelligence,Data Science,Python,Advanced,4.6,2930,Introduction to Artificial Intelligence course covering Python in the field of Data Science.
C173,Natural Language Processing Basics,Web Development,Python Web,Beginner,4.9,326,Natural Language Processing Basics course covering Python Web in the field of Web Development.
C174,Introduction to SQL,Data Science,Python,Intermediate,3.6,3733,Introduction to SQL course covering Python in the field of Data Science.
C175,Full Stack Web Development,AI,MLOps,Advanced,3.7,3676,Full Stack Web Development course covering MLOps in the field of AI.
C176,Introduction to Artificial Intelligence,Data Science,Power BI,Advanced,4.0,2908,Introduction to Artificial Intelligence course covering Power BI in the field of Data Science.
C177,Introduction to SQL,Blockchain,General,Intermediate,4.7,4412,Introduction to SQL course covering General in the field of Blockchain.
C178,Deep Learning with TensorFlow,Data Science,Python,Advanced,4.1,1825,Deep Learning with TensorFlow course covering Python in the field of Data Science.
C179,Statistics for Machine Learning,Programming,Java,Intermediate,4.2,3800,Statistics for Machine Learning course covering Java in the field of Programming.
C180,Django Web Development,Programming,C++,Advanced,3.7,4959,Django Web Development course covering C++ in the field of Programming.
C181,Reinforcement Learning Fundamentals,AI,Reinforcement Learning,Intermediate,3.6,4580,Reinforcement Learning Fundamentals course covering Reinforcement Learning in the field of AI.
C182,Blockchain Essentials,Blockchain,Web3,Beginner,4.3,3632,Blockchain Essentials course covering Web3 in the field of Blockchain.
C183,Data Visualization using Power BI,AI,NLP,Beginner,3.9,1959,Data Visualization using Power BI course covering NLP in the field of AI.
C184,Advanced AI Model Deployment,Cybersecurity,Hacking,Advanced,4.7,3589,Advanced AI Model Deployment course covering Hacking in the field of Cybersecurity.
C185,DevOps Fundamentals,Cloud,AWS,Beginner,4.1,3695,DevOps Fundamentals course covering AWS in the field of Cloud.
C186,Introduction to Artificial Intelligence,Programming,Java,Intermediate,4.6,3257,Introduction to Artificial Intelligence course covering Java in the field of Programming.
C187,DevOps Fundamentals,Data Science,Power BI,Intermediate,4.2,1146,DevOps Fundamentals course covering Power BI in the field of Data Science.
C188,Data Visualization using Power BI,Blockchain,General,Beginner,3.6,1681,Data Visualization using Power BI course covering General in the field of Blockchain.
C189,Introduction to Artificial Intelligence,Programming,Java,Advanced,5.0,2023,Introduction to Artificial Intelligence course covering Java in the field of Programming.
C190,Data Visualization using Power BI,Data Science,Analytics,Beginner,4.3,2690,Data Visualization using Power BI course covering Analytics in the field of Data Science.
C191,Data Visualization using Power BI,Blockchain,General,Intermediate,4.0,3500,Data Visualization using Power BI course covering General in the field of Blockchain.
C192,Introduction to Artificial Intelligence,Programming,C++,Advanced,4.6,2343,Introduction to Artificial Intelligence course covering C++ in the field of Programming.
C193,Cybersecurity Basics,Cloud,GCP,Advanced,4.9,364,Cybersecurity Basics course covering GCP in the field of Cloud.
C194,Cybersecurity Basics,Cloud,AWS,Advanced,4.0,4625,Cybersecurity Basics course covering AWS in the field of Cloud.
C195,Advanced AI Model Deployment,Blockchain,General,Beginner,4.8,1508,Advanced AI Model Deployment course covering General in the field of Blockchain.
C196,Machine Learning A-Z,Web Development,Frontend,Beginner,4.7,3794,Machine Learning A-Z course covering Frontend in the field of Web Development.
C197,Deep Learning with TensorFlow,Data Science,Statistics,Advanced,3.6,1755,Deep Learning with TensorFlow course covering Statistics in the field of Data Science.
C198,Python for Data Science,Cybersecurity,General,Intermediate,4.0,3777,Python for Data Science course covering General in the field of Cybersecurity.
C199,DevOps Fundamentals,Cloud,GCP,Intermediate,4.3,2306,DevOps Fundamentals course covering GCP in the field of Cloud.
C200,DevOps Fundamentals,Cloud,DevOps,Intermediate,3.5,2773,DevOps Fundamentals course covering DevOps in the field of Cloud.
C201,React for Frontend Development,AI,Machine Learning,Beginner,3.9,1501,React for Frontend Development course covering Machine Learning in the field of AI.
C202,React for Frontend Development,Programming,C,Intermediate,3.9,274,React for Frontend Development course covering C in the field of Programming.
C203,Java Programming Masterclass,Cloud,Azure,Beginner,3.9,4883,Java Programming Masterclass course covering Azure in the field of Cloud.
C204,Java Programming Masterclass,Blockchain,General,Intermediate,3.7,845,Java Programming Masterclass course covering General in the field of Blockchain.
C205,Django Web Development,Programming,Java,Beginner,4.5,654,Django Web Development course covering Java in the field of Programming.
C206,DevOps Fundamentals,Data Science,Analytics,Intermediate,4.1,4997,DevOps Fundamentals course covering Analytics in the field of Data Science.
C207,Full Stack Web Development,Data Science,Statistics,Beginner,3.6,3563,Full Stack Web Development course covering Statistics in the field of Data Science.
C208,Full Stack Web Development,Programming,Java,Advanced,4.0,1336,Full Stack Web Development course covering Java in the field of Programming.
C209,Machine Learning A-Z,Programming,C++,Advanced,4.5,4701,Machine Learning A-Z course covering C++ in the field of Programming.
C210,Introduction to Artificial Intelligence,Cybersecurity,Forensics,Intermediate,3.5,1962,Introduction to Artificial Intelligence course covering Forensics in the field of Cybersecurity.
C211,DevOps Fundamentals,Web Development,Backend,Intermediate,4.9,681,DevOps Fundamentals course covering Backend in the field of Web Development.
C212,Machine Learning A-Z,AI,Machine Learning,Beginner,4.0,2543,Machine Learning A-Z course covering Machine Learning in the field of AI.
C213,Full Stack Web Development,AI,Artificial Intelligence,Intermediate,4.2,4426,Full Stack Web Development course covering Artificial Intelligence in the field of AI.
C214,Django Web Development,Data Science,Analytics,Advanced,3.9,2522,Django Web Development course covering Analytics in the field of Data Science.
C215,DevOps Fundamentals,Cybersecurity,Forensics,Beginner,4.7,3840,DevOps Fundamentals course covering Forensics in the field of Cybersecurity.
C216,Ethical Hacking Masterclass,Blockchain,General,Intermediate,4.9,538,Ethical Hacking Masterclass course covering General in the field of Blockchain.
C217,DevOps Fundamentals,Blockchain,General,Advanced,4.6,909,DevOps Fundamentals course covering General in the field of Blockchain.
C218,Django Web Development,AI,Machine Learning,Advanced,4.5,688,Django Web Development course covering Machine Learning in the field of AI.
